DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 16:35,803.7104,21.067,38.905325,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:40,826.8076,21.067,38.886827,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:45,823.508,21.0471,38.822084,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:50,806.1851,21.03715,38.822084,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:55,813.6092,21.03715,38.692598,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 17:00,790.512,21.03715,38.683349,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:05,792.9867,21.05705,38.553863,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:10,778.9634,21.0471,38.637104,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:15,778.9634,21.0471,38.553863,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:20,,,,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:25,805.3602,21.03715,38.701847,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:30,769.0646,20.99735,38.627855,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:35,793.8116,20.95755,38.627855,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:40,766.5899,20.9078,38.498369,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:45,782.263,20.8879,38.470622,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:50,746.7923,20.8481,38.39663,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 17:55,774.014,20.81825,38.230148,1,1,0,0,1,0,0,1,16,17,1,0,0
30-01-23 18:00,779.7883,20.8083,38.230148,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:05,745.1425,20.7685,38.128409,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:10,736.8935,20.7486,38.100662,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:15,745.9674,20.73865,38.045168,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:20,,,,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:25,724.52,20.7287,37.915682,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:30,730.2943,20.71875,37.813943,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:35,725.3449,20.69885,37.7492,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:40,692.3489,20.69885,37.730702,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:45,692.3489,20.67895,37.702955,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:50,665.9521,20.669,37.619714,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 18:55,657.7031,20.65905,37.628963,1,1,0,0,1,0,0,1,16,18,1,0,0
30-01-23 19:00,680.8003,20.6491,37.573469,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:05,680.8003,20.6292,37.545722,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:10,665.1272,20.59935,37.508726,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:15,697.2983,20.6093,37.739951,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:20,,,,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:25,665.9521,20.63915,37.712204,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:30,679.9754,20.6093,37.65671,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:35,664.3023,20.59935,37.638212,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:40,678.3256,20.5695,37.582718,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:45,655.2284,20.5695,37.554971,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:50,681.6252,20.5496,37.527224,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 19:55,677.5007,20.5496,37.462481,1,1,0,0,1,0,0,1,16,19,1,0,0
30-01-23 20:00,665.9521,20.5297,37.434734,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:05,649.4541,20.5297,37.388489,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:10,657.7031,20.5297,37.351493,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:15,676.6758,20.51975,37.305248,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:20,,,,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:25,658.528,20.53965,37.259003,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:30,665.9521,20.5098,37.231256,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:35,663.4774,20.5098,37.212758,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:40,672.5513,20.4899,37.157264,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:45,658.528,20.4899,37.129517,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:50,655.2284,20.4899,37.10177,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 20:55,682.4501,20.4899,37.037027,1,1,0,0,1,0,0,1,16,20,1,0,0
30-01-23 21:00,659.3529,20.46005,37.074023,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:05,642.03,20.47,37.00928,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:10,645.3296,20.4501,36.972284,1,1,0,0,1,0,0,1,16,21,1,0,0
